"Multidimensional poverty index (MPI)"
"Dimension: Poverty"
"Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2021_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated."
"Source: HDRO and OPHI calculations based on data on household deprivations in health, education, and standard of living from various surveys listed in column 1 using the methodology described in Technical note 5 (http://hdr.undp.org/sites/default/files/mpi2021_technical_notes.pdf)."
""
"HDI Rank","Country","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2020","","2009-2020",""
"48"," Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.005","","..","","..","","0.005","a"
"121"," Morocco","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.027","","..","","..","","0.027","a,l"
"181"," Mozambique","..","","..","","0.417","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.417","a"
"147"," Myanmar","..","","..","","..","","..","","..","","..","","..","","0.176","","..","","..","","..","","..","","0.176","a"
"130"," Namibia","..","","..","","..","","..","","0.185","","..","","..","","..","","..","","..","","..","","..","","0.185","a"
"142"," Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.074","","..","","0.074","a"
"128"," Nicaragua","..","","..","","..","","0.075","","..","","..","","..","","..","","..","","..","","..","","..","","0.075","a"
"189"," Niger","..","","..","","..","","0.601","","..","","..","","..","","..","","..","","..","","..","","..","","0.601","a"
"161"," Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.254","","..","","..","","0.254","a"
"82"," North Macedonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","","..","","0.001","a"
"154"," Pakistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.198","","..","","..","","0.198","a"
"115"," Palestine, State of","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","","0.002","a"
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.263","","..","","..","","0.263","a,b"
"103"," Paraguay","..","","..","","..","","..","","..","","..","","..","","0.019","","..","","..","","..","","..","","0.019","a"
"79"," Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","","..","","..","","0.029","a"
"107"," Philippines","..","","..","","..","","..","","..","","..","","..","","..","","0.024","","..","","..","","..","","0.024","a,b"
"160"," Rwanda","..","","..","","..","","..","","..","","..","","0.259","","..","","..","","..","","..","","..","","0.259","a"
"86"," Saint Lucia","..","","..","","..","","0.007","","..","","..","","..","","..","","..","","..","","..","","..","","0.007","a,c"
"135"," Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.048","","..","","0.048","a"
"168"," Senegal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.263","","..","","0.263","a"
"64"," Serbia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.000","","..","","0.000","a,d,m"
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","0.003","a,i,n"
"182"," Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.293","","..","","0.293","a"
"114"," South Africa","..","","..","","..","","..","","..","","..","","..","","0.025","","..","","..","","..","","..","","0.025","a"
"185"," South Sudan","..","","0.580","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.580","a"
"72"," Sri Lanka","..","","..","","..","","..","","..","","..","","..","","0.011","","..","","..","","..","","..","","0.011","a"
"170"," Sudan","..","","..","","..","","..","","..","","0.279","","..","","..","","..","","..","","..","","..","","0.279","a"
"97"," Suriname","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.011","","..","","..","","0.011","a"
"151"," Syrian Arab Republic","0.029","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","a,d"
